AcquireKernelInfo,libmagick,v,S,kernel_string,,,,,,,,,,,,,,
DestroyKernelInfo,libmagick,v,v,kernel,,,,,,,,,,,,,,
MagickAdaptiveBlurImage,library,b,Image,image,d,radius,d,sigma,,,,,,,,,,
MagickAdaptiveBlurImageChannel,library,b,Image,image,i,channel,d,radius,d,sigma,,,,,,,,
MagickAdaptiveResizeImage,library,b,Image,image,s,columns,s,rows,,,,,,,,,,
MagickAdaptiveSharpenImage,library,b,Image,image,d,radius,d,sigma,,,,,,,,,,
MagickAdaptiveSharpenImageChannel,library,b,Image,image,i,channel,d,radius,d,sigma,,,,,,,,
MagickAdaptiveThresholdImage,library,b,Image,image,s,width,s,height,ss,offset,,,,,,,,
MagickAddImage,library,b,Image,image,Image,image,,,,,,,,,,,,
MagickAddNoiseImage,library,b,Image,image,i,noise_type,,,,,,,,,,,,
MagickAddNoiseImageChannel,library,b,Image,image,i,channel,i,noise_type,,,,,,,,,,
MagickAffineTransformImage,library,b,Image,image,Drawing,drawing,,,,,,,,,,,,
MagickAutoGammaImage,library,b,Image,image,,,,,,,,,,,,,,
MagickAutoGammaImageChannel,library,b,Image,image,i,channel,,,,,,,,,,,,
MagickAutoLevelImage,library,b,Image,image,,,,,,,,,,,,,,
MagickAutoLevelImageChannel,library,b,Image,image,i,channel,,,,,,,,,,,,
MagickBlackThresholdImage,library,b,Image,image,Color,threshold,,,,,,,,,,,,
MagickBlueShiftImage,library,b,Image,image,d,factor,,,,,,,,,,,,
MagickBlurImage,library,b,Image,image,d,radius,d,sigma,,,,,,,,,,
MagickBlurImageChannel,library,b,Image,image,i,channel,d,radius,d,sigma,,,,,,,,
MagickBrightnessContrastImage,library,b,Image,image,d,brightness,d,contrast,,,,,,,,,,
MagickBrightnessContrastImageChannel,library,b,Image,image,i,channel,d,brightness,d,contrast,,,,,,,,
MagickCharcoalImage,library,b,Image,image,d,radius,d,sigma,,,,,,,,,,
MagickChopImage,library,b,Image,image,s,width,s,height,ss,x,ss,y,,,,,,
MagickClampImage,library,b,Image,image,,,,,,,,,,,,,,
MagickClampImageChannel,library,b,Image,image,i,channel,,,,,,,,,,,,
MagickClipImage,library,b,Image,image,,,,,,,,,,,,,,
MagickClipImagePath,library,b,Image,image,S,pathname,b,inside,,,,,,,,,,
MagickClutImage,library,b,Image,image,Image,clutimage,,,,,,,,,,,,
MagickClutImageChannel,library,b,Image,image,i,channel,Image,clutimage,,,,,,,,,,
MagickCoalesceImages,library,Image,Image,image,,,,,,,,,,,,,,
MagickColorDecisionListImage,library,b,Image,image,S,ccc_text,,,,,,,,,,,,
MagickColorizeImage,library,b,Image,image,Color,colorize,Color,opacity,,,,,,,,,,
MagickColorMatrixImage,library,b,Image,image,v,color_matrix,,,,,,,,,,,,
MagickCombineImages,library,Image,Image,image,i,channel,,,,,,,,,,,,
MagickCommentImage,library,b,Image,image,S,comment,,,,,,,,,,,,
MagickConstituteImage,library,b,Image,image,s,columns,s,rows,S,map,i,storage,v,pixels,,,,
MagickContrastImage,library,b,Image,image,b,sharpen,,,,,,,,,,,,
MagickConvolveImage,library,b,Image,image,s,order,pd,kernel,,,,,,,,,,
MagickConvolveImageChannel,library,b,Image,image,i,channel,s,order,pd,kernel,,,,,,,,
MagickCycleColormapImage,library,b,Image,image,ss,displace,,,,,,,,,,,,
MagickDecipherImage,library,b,Image,image,S,passphrase,,,,,,,,,,,,
MagickDeskewImage,library,b,Image,image,d,threshold,,,,,,,,,,,,
MagickDespeckleImage,library,b,Image,image,,,,,,,,,,,,,,
MagickEdgeImage,library,b,Image,image,d,radius,,,,,,,,,,,,
MagickEmbossImage,library,b,Image,image,d,radius,d,sigma,,,,,,,,,,
MagickEncipherImage,library,b,Image,image,S,passphrase,,,,,,,,,,,,
MagickEnhanceImage,library,b,Image,image,,,,,,,,,,,,,,
MagickEqualizeImage,library,b,Image,image,,,,,,,,,,,,,,
MagickEqualizeImageChannel,library,b,Image,image,i,channel,,,,,,,,,,,,
MagickExtentImage,library,b,Image,image,s,width,s,height,ss,x,ss,y,,,,,,
MagickFilterImage,library,b,Image,image,v,kernel,,,,,,,,,,,,
MagickFilterImageChannel,library,b,Image,image,i,channel,v,kernel,,,,,,,,,,
MagickFloodfillPaintImage,library,b,Image,image,i,channel,Color,fillcolor,d,fuzz,Color,bordercolor,ss,x,ss,y,b,invert
MagickForwardFourierTransformImage,library,b,Image,image,b,magnitude,,,,,,,,,,,,
MagickHaldClutImage,library,b,Image,image,Image,clutimage,,,,,,,,,,,,
MagickHaldClutImageChannel,library,b,Image,image,i,channel,Image,clutimage,,,,,,,,,,
MagickImplodeImage,library,b,Image,image,d,amount,,,,,,,,,,,,
MagickInverseFourierTransformImage,library,b,Image,image,Image,phase,b,magnitude,,,,,,,,,,
MagickLabelImage,library,b,Image,image,S,label,,,,,,,,,,,,
MagickLocalContrastImage,library,b,Image,image,d,radius,d,strength,,,,,,,,,,
MagickMagnifyImage,library,b,Image,image,,,,,,,,,,,,,,
MagickMinifyImage,library,b,Image,image,,,,,,,,,,,,,,
MagickMontageImage,library,Image,Image,image,Drawing,drawing,S,tile_geometry,S,thumbnail_geometry,i,mode,S,frame,,,,
MagickMorphologyImage,library,b,Image,image,i,method,ss,iterations,v,kernelinfo,,,,,,,,
MagickMorphologyImageChannel,library,b,Image,image,i,channel,i,method,ss,iterations,v,kernelinfo,,,,,,
MagickMotionBlurImage,library,b,Image,image,d,radius,d,sigma,d,angle,,,,,,,,
MagickMotionBlurImageChannel,library,b,Image,image,i,channel,d,radius,d,sigma,d,angle,,,,,,
MagickOilPaintImage,library,b,Image,image,d,radius,,,,,,,,,,,,
MagickOpaquePaintImage,library,b,Image,image,Color,target,Color,fill,d,fuzz,b,invert,,,,,,
MagickOpaquePaintImageChannel,library,b,Image,image,i,channel,Color,target,Color,fill,d,fuzz,b,invert,,,,
MagickOrderedPosterizeImage,library,b,Image,image,S,threshold_map,,,,,,,,,,,,
MagickOrderedPosterizeImageChannel,library,b,Image,image,i,channel,S,threshold_map,,,,,,,,,,
MagickPolaroidImage,library,b,Image,image,Drawing,drawing,d,angle,,,,,,,,,,
MagickPosterizeImage,library,b,Image,image,s,levels,b,dither,,,,,,,,,,
MagickRaiseImage,library,b,Image,image,s,width,s,height,ss,x,ss,y,b,raise,,,,
MagickRandomThresholdImage,library,b,Image,image,s,low,s,high,,,,,,,,,,
MagickRandomThresholdImageChannel,library,b,Image,image,i,channel,s,low,s,high,,,,,,,,
MagickRemapImage,library,b,Image,image,Image,map,i,method,,,,,,,,,,
MagickResampleImage,library,b,Image,image,d,x_resolution,d,y_resolution,i,filter,d,blur,,,,,,
MagickRollImage,library,b,Image,image,ss,x,ss,y,,,,,,,,,,
MagickRotationalBlurImage,library,b,Image,image,d,angle,,,,,,,,,,,,
MagickRotationalBlurImageChannel,library,b,Image,image,i,channel,d,angle,,,,,,,,,,
MagickScaleImage,library,b,Image,image,s,columns,s,rows,,,,,,,,,,
MagickSegmentImage,library,b,Image,image,i,colorspace,b,verbose,d,cluster_threshold,d,smooth_threshold,,,,,,
MagickSelectiveBlurImage,library,b,Image,image,d,radius,d,sigma,d,threshold,,,,,,,,
MagickSelectiveBlurImageChannel,library,b,Image,image,i,channel,d,radius,d,sigma,d,threshold,,,,,,
